stationID,time,hour,temp,humid,wind_speed,pressure
1,2013-01-01,01:00:00,37.04,53.97,10.35702,1013.9
2,2013-01-01,01:00:00,37.94,54.51,16.11092,1014.4
3,2013-01-01,01:00:00,39.02,44.18,13.80936,1013.7
1,2013-01-01,02:00:00,37.04,53.97,13.80936,1013
2,2013-01-01,02:00:00,37.94,57.04,17.2617,1013.5
3,2013-01-01,02:00:00,39.02,44.18,13.80936,1012.6
1,2013-01-01,03:00:00,37.94,52.09,12.65858,1012.6
2,2013-01-01,03:00:00,39.02,56.77,19.56326,1013
3,2013-01-01,03:00:00,39.92,42.65,14.96014,1012
1,2013-01-01,04:00:00,37.94,54.51,13.80936,1012.7
2,2013-01-01,04:00:00,39.02,59.37,18.41248,1013.2
3,2013-01-01,04:00:00,39.92,46.41,16.11092,1012.3
1,2013-01-01,05:00:00,37.94,57.04,14.96014,1012.8
2,2013-01-01,05:00:00,39.02,56.77,14.96014,1013.2
3,2013-01-01,05:00:00,41,48.39,18.41248,1012.3
1,2013-01-01,07:00:00,39.02,59.37,10.35702,1012
2,2013-01-01,07:00:00,39.02,59.37,12.65858,1012.6
3,2013-01-01,07:00:00,39.92,57.33,13.80936,1011.9
1,2013-01-01,08:00:00,39.02,61.63,8.05546,1012.3
2,2013-01-01,08:00:00,39.02,59.37,11.5078,1012.4
3,2013-01-01,08:00:00,41,54.97,17.2617,1011.5
1,2013-01-01,09:00:00,39.02,64.43,11.5078,1012.5
2,2013-01-01,09:00:00,39.92,59.5,14.96014,1012.7
3,2013-01-01,09:00:00,41,54.97,16.11092,1012
1,2013-01-01,10:00:00,39.92,62.21,12.65858,1012.2
2,2013-01-01,10:00:00,39.92,62.21,17.2617,1012.6
3,2013-01-01,10:00:00,41,54.97,17.2617,1011.8
1,2013-01-01,11:00:00,39.02,64.43,12.65858,1011.9
2,2013-01-01,11:00:00,39.02,61.63,14.96014,1012.1
3,2013-01-01,11:00:00,39.92,54.81,14.96014,1011.4
1,2013-01-01,12:00:00,37.94,67.21,11.5078,1012.4
2,2013-01-01,12:00:00,37.94,64.29,13.80936,1012.6
3,2013-01-01,12:00:00,39.92,54.81,16.11092,1011.7
1,2013-01-01,13:00:00,39.02,64.43,14.96014,1012.2
2,2013-01-01,13:00:00,39.02,64.43,13.80936,1012.5
3,2013-01-01,13:00:00,39.92,57.33,14.96014,1011.9
1,2013-01-01,14:00:00,39.92,62.21,10.35702,1012.2
2,2013-01-01,14:00:00,39.92,59.5,17.2617,1012.6
3,2013-01-01,14:00:00,39.92,57.33,14.96014,1011.8
1,2013-01-01,15:00:00,39.92,62.21,14.96014,1012.7
2,2013-01-01,15:00:00,39.92,59.5,16.11092,1013
3,2013-01-01,15:00:00,39.92,57.33,18.41248,1012.2
1,2013-01-01,16:00:00,41,59.65,13.80936,1012.4
2,2013-01-01,16:00:00,41,59.65,16.11092,1012.8
3,2013-01-01,16:00:00,39.92,57.33,12.65858,1012.1
1,2013-01-01,17:00:00,41,57.06,14.96014,1011.4
2,2013-01-01,17:00:00,41,57.06,14.96014,1011.7
3,2013-01-01,17:00:00,39.92,57.33,16.11092,1011.1
1,2013-01-01,18:00:00,39.2,64.93,16.11092,NA
2,2013-01-01,18:00:00,39.92,57.33,17.2617,1011.3
3,2013-01-01,18:00:00,37.4,69.67,11.5078,NA
1,2013-01-01,19:00:00,39.2,64.93,14.96014,NA
2,2013-01-01,19:00:00,37.4,64.7,14.96014,NA
3,2013-01-01,19:00:00,37.94,59.22,16.11092,1010.6
1,2013-01-01,20:00:00,39.02,54.68,13.80936,1010.8
2,2013-01-01,20:00:00,39.02,54.68,11.5078,1011.2
3,2013-01-01,20:00:00,39.02,54.68,9.20624,1010.7
1,2013-01-01,21:00:00,37.94,57.04,9.20624,1011.9
2,2013-01-01,21:00:00,39.02,52.26,12.65858,1011.7
3,2013-01-01,21:00:00,39.02,49.93,12.65858,1011.4
1,2013-01-01,22:00:00,37.04,49.62,13.80936,1012.1
2,2013-01-01,22:00:00,37.94,44,17.2617,1012.1
3,2013-01-01,22:00:00,37.94,50.14,11.5078,1011.7
1,2013-01-01,23:00:00,35.96,49.83,11.5078,1013.2
2,2013-01-01,23:00:00,37.04,43.85,16.11092,1013.2
3,2013-01-01,23:00:00,35.96,45.76,18.41248,1013.1
1,2013-01-02,NA,33.98,45.43,12.65858,1014.1
2,2013-01-02,NA,35.06,41.51,14.96014,1014.2
3,2013-01-02,NA,33.98,47.25,14.96014,1013.9
1,2013-01-02,01:00:00,33.08,42.84,10.35702,1014.4
2,2013-01-02,01:00:00,33.08,44.92,13.80936,1014.3
3,2013-01-02,01:00:00,33.08,44.92,13.80936,1014.1
1,2013-01-02,02:00:00,32,49.19,14.96014,1015.2
2,2013-01-02,02:00:00,32,46.92,16.11092,1015.1
3,2013-01-02,02:00:00,32,49.19,12.65858,1014.9
1,2013-01-02,03:00:00,30.02,48.48,18.41248,1016
2,2013-01-02,03:00:00,30.02,44.41,21.86482,1015.3
3,2013-01-02,03:00:00,30.02,50.84,16.11092,1015.4
1,2013-01-02,04:00:00,28.94,48.69,18.41248,1016.5
2,2013-01-02,04:00:00,28.94,46.41,16.11092,1016.4
3,2013-01-02,04:00:00,28.94,48.69,24.16638,1016.2
1,2013-01-02,05:00:00,28.04,48.15,16.11092,1016.4
2,2013-01-02,05:00:00,26.96,44.25,20.71404,1016.5
3,2013-01-02,05:00:00,28.04,50.52,14.96014,1016.3
1,2013-01-02,06:00:00,26.96,50.34,14.96014,1016.3
2,2013-01-02,06:00:00,26.06,45.93,18.41248,1016.1
3,2013-01-02,06:00:00,26.96,50.34,16.11092,1016.2
1,2013-01-02,07:00:00,26.06,52.25,12.65858,1016.3
2,2013-01-02,07:00:00,26.06,45.93,19.56326,1016.4
3,2013-01-02,07:00:00,26.96,54.95,17.2617,1016.2
1,2013-01-02,08:00:00,24.98,54.65,13.80936,1017
2,2013-01-02,08:00:00,24.98,48.03,18.41248,1016.8
3,2013-01-02,08:00:00,26.06,54.82,16.11092,1016.2
1,2013-01-02,09:00:00,24.08,51.93,14.96014,1016.6
2,2013-01-02,09:00:00,24.98,48.03,17.2617,1016.5
3,2013-01-02,09:00:00,24.98,52.5,13.80936,1016.4
1,2013-01-02,10:00:00,24.08,51.93,12.65858,1016.9
2,2013-01-02,10:00:00,24.08,49.87,17.2617,1016.9
3,2013-01-02,10:00:00,24.08,54.51,9.20624,1016.7
1,2013-01-02,11:00:00,24.08,51.93,6.90468,1016.9
2,2013-01-02,11:00:00,23,54.34,11.5078,1017.1
3,2013-01-02,11:00:00,24.08,54.51,10.35702,1016.5
1,2013-01-02,12:00:00,24.08,51.93,3.45234,1017.2
2,2013-01-02,12:00:00,23,54.34,9.20624,1017.2
3,2013-01-02,12:00:00,24.08,54.51,6.90468,1016.8
1,2013-01-02,13:00:00,24.98,52.5,6.90468,1017.6
2,2013-01-02,13:00:00,23,54.34,10.35702,1017.7
3,2013-01-02,13:00:00,24.08,51.93,8.05546,1017.3
1,2013-01-02,14:00:00,24.98,52.5,9.20624,1018.5
2,2013-01-02,14:00:00,24.98,48.03,12.65858,1018.4
3,2013-01-02,14:00:00,24.98,52.5,13.80936,1017.9
1,2013-01-02,15:00:00,26.96,48.36,11.5078,1019
2,2013-01-02,15:00:00,26.96,44.25,12.65858,1019
3,2013-01-02,15:00:00,26.96,48.36,12.65858,1018.5
1,2013-01-02,16:00:00,28.94,46.41,9.20624,1018.5
2,2013-01-02,16:00:00,28.94,42.48,13.80936,1018.6
3,2013-01-02,16:00:00,28.04,48.15,11.5078,1018
1,2013-01-02,17:00:00,30.92,44.92,14.96014,1017.5
2,2013-01-02,17:00:00,30.02,42.66,20.71404,1017.8
3,2013-01-02,17:00:00,28.94,48.69,12.65858,1017.2
1,2013-01-02,18:00:00,32,44.74,12.65858,1017.1
2,2013-01-02,18:00:00,30.92,41.13,14.96014,1016.6
3,2013-01-02,18:00:00,30.92,46.74,18.41248,1016.2
1,2013-01-02,19:00:00,33.98,41.33,16.11092,1017.3
